,Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
80,9:00 PM,Box Score,Denver Nuggets,103,Phoenix Suns,114,,
81,10:00 PM,Box Score,Sacramento Kings,91,Portland Trail Blazers,104,,
82,8:30 PM,Box Score,Golden State Warriors,74,San Antonio Spurs,76,,
83,7:00 PM,Box Score,Brooklyn Nets,108,Washington Wizards,112,OT,
84,7:30 PM,Box Score,Orlando Magic,94,Atlanta Hawks,104,,
85,7:30 PM,Box Score,Indiana Pacers,96,Brooklyn Nets,91,,
86,7:30 PM,Box Score,Philadelphia 76ers,125,Cleveland Cavaliers,127,2OT,
87,8:00 PM,Box Score,Los Angeles Clippers,107,Houston Rockets,94,,
88,8:00 PM,Box Score,Golden State Warriors,90,Memphis Grizzlies,108,,
89,7:30 PM,Box Score,Boston Celtics,111,Miami Heat,110,,
90,8:30 PM,Box Score,Dallas Mavericks,91,Milwaukee Bucks,83,,
91,10:00 PM,Box Score,Portland Trail Blazers,96,Sacramento Kings,85,,
92,7:00 PM,Box Score,Utah Jazz,91,Toronto Raptors,115,,
93,9:30 PM,Box Score,Minnesota Timberwolves,113,Los Angeles Lakers,90,,
94,12:00 AM,Box Score,San Antonio Spurs,120,New York Knicks,89,,
95,7:00 PM,Box Score,Washington Wizards,105,Oklahoma City Thunder,106,OT,
96,8:00 PM,Box Score,New Orleans Pelicans,94,Phoenix Suns,101,,
97,7:30 PM,Box Score,Orlando Magic,105,Boston Celtics,120,,
98,7:00 PM,Box Score,Atlanta Hawks,103,Charlotte Bobcats,94,,
99,8:00 PM,Box Score,Cleveland Cavaliers,81,Chicago Bulls,96,,
100,8:00 PM,Box Score,Toronto Raptors,104,Houston Rockets,110,2OT,
101,7:00 PM,Box Score,Memphis Grizzlies,79,Indiana Pacers,95,,
102,10:30 PM,Box Score,Minnesota Timberwolves,107,Los Angeles Clippers,109,,
103,7:00 PM,Box Score,San Antonio Spurs,109,Philadelphia 76ers,85,,
104,10:00 PM,Box Score,Detroit Pistons,103,Portland Trail Blazers,109,,
105,9:00 PM,Box Score,Denver Nuggets,100,Utah Jazz,81,,
106,8:30 PM,Box Score,Washington Wizards,95,Dallas Mavericks,105,,
107,10:30 PM,Box Score,Detroit Pistons,95,Golden State Warriors,113,,
108,10:30 PM,Box Score,New Orleans Pelicans,95,Los Angeles Lakers,116,,
109,7:30 PM,Box Score,Milwaukee Bucks,95,Miami Heat,118,,
110,8:00 PM,Box Score,New York Knicks,95,Atlanta Hawks,91,,
111,7:30 PM,Box Score,Charlotte Bobcats,89,Boston Celtics,83,,
112,9:00 PM,Box Score,Los Angeles Lakers,99,Denver Nuggets,111,,
113,10:30 PM,Box Score,Oklahoma City Thunder,103,Los Angeles Clippers,111,,
114,8:00 PM,Box Score,Toronto Raptors,103,Memphis Grizzlies,87,,
115,8:00 PM,Box Score,Cleveland Cavaliers,95,Minnesota Timberwolves,124,,
116,7:00 PM,Box Score,Milwaukee Bucks,91,Orlando Magic,94,,
117,7:00 PM,Box Score,Houston Rockets,117,Philadelphia 76ers,123,OT,
118,10:00 PM,Box Score,Phoenix Suns,89,Portland Trail Blazers,90,,
119,10:00 PM,Box Score,Brooklyn Nets,86,Sacramento Kings,107,,
120,8:30 PM,Box Score,Washington Wizards,79,San Antonio Spurs,92,,
121,9:00 PM,Box Score,New Orleans Pelicans,105,Utah Jazz,111,,
122,10:30 PM,Box Score,Oklahoma City Thunder,115,Golden State Warriors,116,,
123,8:00 PM,Box Score,Houston Rockets,109,New York Knicks,106,,
124,7:30 PM,Box Score,Philadelphia 76ers,103,Atlanta Hawks,113,,
125,7:30 PM,Box Score,Portland Trail Blazers,109,Boston Celtics,96,,
126,7:30 PM,Box Score,Charlotte Bobcats,86,Cleveland Cavaliers,80,,
127,8:00 PM,Box Score,Minnesota Timberwolves,113,Denver Nuggets,117,,
128,7:00 PM,Box Score,Milwaukee Bucks,77,Indiana Pacers,104,,
129,10:30 PM,Box Score,Memphis Grizzlies,89,Los Angeles Lakers,86,,
130,7:30 PM,Box Score,Dallas Mavericks,104,Miami Heat,110,,
131,9:00 PM,Box Score,Brooklyn Nets,100,Phoenix Suns,98,OT,
132,10:30 PM,Box Score,Detroit Pistons,97,Sacramento Kings,90,,
133,7:00 PM,Box Score,Chicago Bulls,96,Toronto Raptors,80,,
134,9:00 PM,Box Score,San Antonio Spurs,91,Utah Jazz,82,,
